Hotel Name,Destination,Address,Latitude,Longitude,Phone,Rating,Price Per Night,Currency,Booking Status,Booking URL
Sauraha Wildlife Lodge,Chitwan,Sauraha Nepal,27.5810,84.4950,+977-56-581100,4.3,85,USD,Available,https://www.saurahawildlife.com
Chitwan Nature Resort,Chitwan,Sauraha Nepal,27.5805,84.4938,+977-56-581200,4.4,95,USD,Available,https://www.chitwannatureresort.com
Jungle View Resort Chitwan,Chitwan,Sauraha Nepal,27.5820,84.4960,+977-56-581300,4.2,80,USD,Available,https://www.jungleviewchitwan.com
Elephant Safari Lodge,Chitwan,Chitwan Nepal,27.5815,84.4955,+977-56-581400,4.1,70,USD,Available,https://www.elephantsafarilodge.com
Lumbini Peace Resort,Lumbini,Lumbini Nepal,27.4695,83.2760,+977-71-582000,4.2,65,USD,Available,https://www.lumbinipeaceresort.com
Buddha Heritage Hotel,Lumbini,Lumbini Nepal,27.4685,83.2770,+977-71-582100,4.4,90,USD,Available,https://www.buddhaheritagehotel.com
Lumbini View Hotel,Lumbini,Lumbini Nepal,27.4708,83.2755,+977-71-582200,4.1,55,USD,Available,https://www.lumbiniviewhotel.com
Sacred Peace Lodge,Lumbini,Lumbini Nepal,27.4702,83.2745,+977-71-582300,4.2,60,USD,Available,https://www.sacredpeacelodge.com
Buddha Maya Resort,Lumbini,Lumbini Nepal,27.4700,83.2750,+977-71-580111,4.3,90,USD,Available,https://www.buddhamaya.com
Bhairahawa Garden Resort,Bhairahawa,Rupandehi Nepal,27.5105,83.4550,+977-71-590300,4.1,70,USD,Available,https://www.bhairahawagarden.com
Hotel Siddhartha,Bhairahawa,Bhairahawa Nepal,27.5055,83.4555,+977-71-520500,4.3,90,USD,Available,https://www.hotelsiddhartha.com
Nansc Hotel,Bhairahawa,Bhairahawa Nepal,27.5050,83.4540,+977-71-590400,4.2,80,USD,Available,https://www.nanschotel.com
Galaxy Guest House,Bhairahawa,Bhairahawa Nepal,27.5045,83.4535,+977-71-590500,4.0,55,USD,Available,https://www.galaxyguesthouse.com
Lumbini Palace Resort,Bhairahawa,Rupandehi Nepal,27.5200,83.4505,+977-71-590600,4.4,120,USD,Available,https://www.lumbinipalaceresort.com
Hotel Pawan International,Bhairahawa,Rupandehi Nepal,27.5050,83.4530,+977-71-520111,4.0,60,USD,Available,https://www.pawaninternational.com
Butwal Garden Resort,Butwal,Butwal Nepal,27.7000,83.4500,+977-71-540500,4.2,80,USD,Available,https://www.butwalgardenresort.com
Hotel Club De Novo,Butwal,Butwal Nepal,27.7005,83.4485,+977-71-540600,4.3,90,USD,Available,https://www.clubdenovo.com
Nana Hotel Butwal,Butwal,Butwal Nepal,27.7000,83.4490,+977-71-540700,4.1,65,USD,Available,https://www.nanahotelbutwal.com
Dream International Hotel,Butwal,Butwal Nepal,27.7008,83.4505,+977-71-540800,4.4,100,USD,Available,https://www.dreaminternationalhotel.com
Palpa Durbar Hotel,Tansen,Palpa Nepal,27.8670,83.5460,+977-75-520500,4.3,85,USD,Available,https://www.palpadurbarhotel.com
Srinagar Hotel,Tansen,Palpa Nepal,27.8675,83.5465,+977-75-520600,4.5,120,USD,Available,https://www.srinagarhotel.com
Hotel White Lake,Tansen,Palpa Nepal,27.8680,83.5470,+977-75-520700,4.2,75,USD,Available,https://www.whitelaketansen.com
Tansen View Resort,Tansen,Palpa Nepal,27.8665,83.5455,+977-75-520800,4.4,95,USD,Available,https://www.tansenview.com
Palpa Heritage Inn,Tansen,Palpa Nepal,27.8672,83.5462,+977-75-520900,4.3,80,USD,Available,https://www.palpaheritageinn.com
Janakpur Guest House,Janakpur,Janakpur Nepal,26.7280,85.9250,+977-41-520500,4.0,55,USD,Available,https://www.janakpurguesthouse.com
Hotel Welcome Janakpur,Janakpur,Janakpur Nepal,26.7285,85.9260,+977-41-520600,4.2,75,USD,Available,https://www.hotelwelcomejanakpur.com
Sita Palace Hotel,Janakpur,Janakpur Nepal,26.7275,85.9245,+977-41-520700,4.1,70,USD,Available,https://www.sitapalacehotel.com
Mithila Yatri Niwas,Janakpur,Janakpur Nepal,26.7280,85.9255,+977-41-520800,4.3,85,USD,Available,https://www.mithilayatri.com
Hotel Rama Inn,Janakpur,Janakpur Nepal,26.7270,85.9235,+977-41-520900,4.0,60,USD,Available,https://www.ramainn.com
Ilam Green Resort,Ilam,Ilam Nepal,26.9100,87.9300,+977-27-520500,4.5,100,USD,Available,https://www.ilamgreenresort.com
Ilam Tea Garden Hotel,Ilam,Ilam Nepal,26.9120,87.9310,+977-27-520600,4.4,90,USD,Available,https://www.ilamteagarden.com
Kanyam View Resort,Ilam,Kanyam Nepal,26.8800,87.9200,+977-27-520700,4.6,120,USD,Available,https://www.kanyamviewresort.com
Ilam Hill Lodge,Ilam,Ilam Nepal,26.9105,87.9295,+977-27-520800,4.2,75,USD,Available,https://www.ilamhilllodge.com
Mai Valley Resort,Ilam,Ilam Nepal,26.9150,87.9350,+977-27-520900,4.3,95,USD,Available,https://www.maivalleyresort.com
Dharan Boutique Hotel,Dharan,Dharan Nepal,26.8100,87.2800,+977-25-520500,4.2,75,USD,Available,https://www.dharanboutiquehotel.com
Hotel Imperial Dharan,Dharan,Dharan Nepal,26.8110,87.2810,+977-25-520600,4.3,85,USD,Available,https://www.imperialdharan.com
Dharan View Resort,Dharan,Dharan Nepal,26.8120,87.2820,+977-25-520700,4.1,70,USD,Available,https://www.dharanviewresort.com
Hotel Gajur Palace,Dharan,Dharan Nepal,26.8105,87.2805,+977-25-520800,4.2,80,USD,Available,https://www.gajurpalace.com
Eastern Star Hotel,Dharan,Dharan Nepal,26.8095,87.2795,+977-25-520900,4.0,60,USD,Available,https://www.easternstarhotel.com
Hotel Makalu,Koshi Region,Biratnagar Nepal,26.4525,87.2718,+977-21-520500,4.1,65,USD,Available,https://www.hotelmakalu.com
Ratna Hotel,Biratnagar,Biratnagar Nepal,26.4520,87.2700,+977-21-520600,4.2,75,USD,Available,https://www.ratnahotel.com
Hotel Harrison Palace,Biratnagar,Biratnagar Nepal,26.4530,87.2720,+977-21-520700,4.3,90,USD,Available,https://www.harrisonpalace.com
Big Hotel Biratnagar,Biratnagar,Biratnagar Nepal,26.4515,87.2710,+977-21-520800,4.0,60,USD,Available,https://www.bighotelbiratnagar.com
Royal Orchid Hotel,Biratnagar,Biratnagar Nepal,26.4522,87.2705,+977-21-520900,4.1,70,USD,Available,https://www.royalorchidhotel.com
Hotel Narayani,Narayangarh,Narayangarh Nepal,27.7000,84.4300,+977-56-520500,4.1,65,USD,Available,https://www.hotelnarayani.com
Central Palm Hotel,Narayangarh,Chitwan Nepal,27.6800,84.4300,+977-56-520600,4.4,100,USD,Available,https://www.centralpalmhotel.com
Hotel Royal Century,Narayangarh,Chitwan Nepal,27.7005,84.4310,+977-56-520700,4.3,90,USD,Available,https://www.royalcentury.com
Barahi Jungle Lodge,Chitwan,Meghauli Nepal,27.5800,84.2500,+977-56-590200,4.7,220,USD,Available,https://www.barahijunglelodge.com
Kasara Jungle Resort,Chitwan,Patihani Nepal,27.5660,84.4200,+977-56-590999,4.7,200,USD,Available,https://www.kasararesort.com
Green Park Chitwan Resort,Chitwan,Sauraha Nepal,27.5805,84.4935,+977-56-580555,4.6,110,USD,Available,https://www.greenparkchitwan.com
Jungle World Resort,Chitwan,Sauraha Nepal,27.5810,84.4945,+977-56-581500,4.3,90,USD,Available,https://www.jungleworldresort.com
Chitwan Village Resort,Chitwan,Sauraha Nepal,27.5808,84.4950,+977-56-581600,4.2,75,USD,Available,https://www.chitwanvillageresort.com
Wildlife Adventure Resort,Chitwan,Sauraha Nepal,27.5820,84.4960,+977-56-581700,4.4,100,USD,Available,https://www.wildlifeadventureresort.com
Rhino Lodge Chitwan,Chitwan,Sauraha Nepal,27.5805,84.4925,+977-56-581800,4.1,70,USD,Available,https://www.rhinolodgechitwan.com
Machan Country Villa,Chitwan,Chitwan National Park Nepal,27.5600,84.3000,+977-56-590300,4.5,180,USD,Available,https://www.machancountryvilla.com
Tigerland Safari Resort,Chitwan,Chitwan Nepal,27.5750,84.2800,+977-56-590400,4.4,150,USD,Available,https://www.tigerlandsafari.com
Sauraha Resort Inn,Chitwan,Sauraha Nepal,27.5815,84.4955,+977-56-581900,4.0,60,USD,Available,https://www.sauraharesortinn.com
River Bank Jungle Resort,Chitwan,Sauraha Nepal,27.5795,84.4920,+977-56-582000,4.2,80,USD,Available,https://www.riverbankjungle.com
Rhino Residence Chitwan,Chitwan,Sauraha Nepal,27.5825,84.4965,+977-56-582100,4.1,65,USD,Available,https://www.rhinoresidence.com
Pokhara Boutique Hotel,Pokhara,Lakeside Pokhara Nepal,28.2110,83.9580,+977-61-467000,4.4,95,USD,Available,https://www.pokharaboutiquehotel.com
Lake View Resort Pokhara,Pokhara,Lakeside Pokhara Nepal,28.2105,83.9575,+977-61-467100,4.3,90,USD,Available,https://www.lakeviewpokhara.com
Mountain Glory Forest Resort,Pokhara,Pokhara Nepal,28.2200,83.9500,+977-61-467200,4.5,130,USD,Available,https://www.mountaingloryresort.com
Hotel Pokhara View,Pokhara,Lakeside Pokhara Nepal,28.2125,83.9585,+977-61-467300,4.1,65,USD,Available,https://www.hotelpokharaview.com
Trekkers Inn Pokhara,Pokhara,Lakeside Pokhara Nepal,28.2115,83.9570,+977-61-467400,4.2,70,USD,Available,https://www.trekkersinnpokhara.com
Hotel Lakefront Pokhara,Pokhara,Lakeside Pokhara Nepal,28.2120,83.9565,+977-61-467500,4.3,85,USD,Available,https://www.lakefrontpokhara.com
Annapurna Eco Resort,Pokhara,Pokhara Nepal,28.1800,83.9500,+977-61-467600,4.4,100,USD,Available,https://www.annapurnaecoresort.com
Pokhara Adventure Resort,Pokhara,Pokhara Nepal,28.2150,83.9550,+977-61-467700,4.2,80,USD,Available,https://www.pokharaadventure.com
Hotel Fewa Camp,Pokhara,Fewa Lake Nepal,28.2100,83.9560,+977-61-467800,4.1,60,USD,Available,https://www.fewacamp.com
Himalayan Lake Resort,Pokhara,Fewa Lake Nepal,28.2120,83.9590,+977-61-467900,4.3,90,USD,Available,https://www.himalayanlakeresort.com
Kathmandu Garden House,Kathmandu,Thamel Nepal,27.7150,85.3120,+977-1-4702000,4.2,70,USD,Available,https://www.kathmandugardenhouse.com
Thamel View Hotel,Kathmandu,Thamel Nepal,27.7160,85.3130,+977-1-4702100,4.1,60,USD,Available,https://www.thamelviewhotel.com
Kathmandu Guest House Annex,Kathmandu,Thamel Nepal,27.7148,85.3125,+977-1-4702200,4.3,90,USD,Available,https://www.kathmanduguesthouse.com
Hotel Mandala,Kathmandu,Thamel Nepal,27.7152,85.3118,+977-1-4702300,4.0,55,USD,Available,https://www.hotelmandala.com
Himalayan Retreat Kathmandu,Kathmandu,Lazimpat Nepal,27.7190,85.3170,+977-1-4416000,4.4,120,USD,Available,https://www.himalayanretreat.com
Royal Kathmandu Hotel,Kathmandu,Durbarmarg Nepal,27.7110,85.3180,+977-1-4226000,4.3,100,USD,Available,https://www.royalkathmandu.com
Valley View Hotel,Kathmandu,Kirtipur Nepal,27.6785,85.2765,+977-1-4336000,4.2,75,USD,Available,https://www.valleyviewhotel.com
Kathmandu Palace Inn,Kathmandu,Balaju Nepal,27.7350,85.3050,+977-1-4386000,4.1,65,USD,Available,https://www.kathmandupalaceinn.com
Heritage Valley Resort,Kathmandu,Godavari Nepal,27.5900,85.3900,+977-1-5562000,4.3,100,USD,Available,https://www.heritagevalleyresort.com
Himalayan Panorama Resort,Nagarkot,Nagarkot Nepal,27.7175,85.5205,+977-1-6683000,4.5,130,USD,Available,https://www.himalayanpanorama.com
Nagarkot Hill View Resort,Nagarkot,Nagarkot Nepal,27.7165,85.5195,+977-1-6683100,4.3,95,USD,Available,https://www.nagarkothillview.com
Sunrise Mountain Resort,Nagarkot,Nagarkot Nepal,27.7170,85.5185,+977-1-6683200,4.2,85,USD,Available,https://www.sunrisemountainresort.com
Dhulikhel Panorama Resort,Dhulikhel,Dhulikhel Nepal,27.6230,85.5440,+977-11-491100,4.4,110,USD,Available,https://www.dhulikhelpanorama.com
Himalayan Retreat Dhulikhel,Dhulikhel,Dhulikhel Nepal,27.6245,85.5420,+977-11-491200,4.3,95,USD,Available,https://www.himalayanretreatdhulikhel.com
Dhulikhel Heritage Inn,Dhulikhel,Dhulikhel Nepal,27.6225,85.5435,+977-11-491300,4.2,80,USD,Available,https://www.dhulikhelheritage.com
Bandipur Heritage Lodge,Bandipur,Bandipur Nepal,27.9370,84.4065,+977-65-561500,4.5,120,USD,Available,https://www.bandipurheritagelodge.com
Bandipur Mountain View Hotel,Bandipur,Bandipur Nepal,27.9380,84.4070,+977-65-561600,4.3,90,USD,Available,https://www.bandipurmountainview.com
Bandipur Old Town Inn,Bandipur,Bandipur Nepal,27.9365,84.4060,+977-65-561700,4.4,100,USD,Available,https://www.bandipuroldtown.com
Manakamana View Hotel,Gorkha,Manakamana Nepal,27.9470,84.5900,+977-65-541000,4.2,85,USD,Available,https://www.manakamanaviewhotel.com
Gorkha Heritage Resort,Gorkha,Gorkha Nepal,28.0010,84.6340,+977-64-421500,4.3,100,USD,Available,https://www.gorkhaheritage.com
Gorkha Palace View Hotel,Gorkha,Gorkha Nepal,28.0015,84.6345,+977-64-421600,4.3,95,USD,Available,https://www.gorkhapalaceview.com
Manaslu Heritage Lodge,Gorkha,Manaslu Region Nepal,28.6505,84.6505,+977-64-421700,4.4,110,USD,Available,https://www.manasluheritage.com
Barpak Mountain Lodge,Gorkha,Barpak Nepal,28.2005,84.7505,+977-64-431000,4.5,100,USD,Available,https://www.barpakmountainlodge.com
Annapurna Village Lodge,Lamjung,Lamjung Nepal,28.2355,84.3760,+977-66-521000,4.2,70,USD,Available,https://www.annapurnavillagelodge.com
Lamjung Heritage Resort,Lamjung,Lamjung Nepal,28.2405,84.3810,+977-66-521100,4.3,85,USD,Available,https://www.lamjungheritage.com
Besisahar Mountain View,Lamjung,Besisahar Nepal,28.2325,84.3725,+977-66-521200,4.1,65,USD,Available,https://www.besisaharmountainview.com
Manang Valley Resort,Manang,Manang Nepal,28.6670,84.0180,+977-66-442000,4.4,120,USD,Available,https://www.manangvalleyresort.com
Himalayan View Manang,Manang,Manang Nepal,28.6680,84.0190,+977-66-442100,4.2,90,USD,Available,https://www.himalayanviewmanang.com
Yak Palace Lodge,Manang,Manang Nepal,28.6675,84.0175,+977-66-442200,4.1,75,USD,Available,https://www.yakpalacelodge.com
Annapurna Trekker Lodge,Manang,Annapurna Region Nepal,28.6700,84.0200,+977-66-442300,4.3,95,USD,Available,https://www.annapurnatrekker.com
Mustang Valley Resort,Mustang,Jomsom Nepal,28.7800,83.7305,+977-69-442000,4.3,110,USD,Available,https://www.mustangvalleyresort.com
Kali Gandaki Lodge,Mustang,Kagbeni Nepal,28.8350,83.7825,+977-69-442100,4.4,100,USD,Available,https://www.kaligandaki.com
Marpha Heritage Hotel,Mustang,Marpha Nepal,28.7505,83.6905,+977-69-442200,4.5,120,USD,Available,https://www.marphaheritage.com
Lo Mustang Guest House,Mustang,Lo Manthang Nepal,29.1800,83.9500,+977-69-442300,4.2,90,USD,Available,https://www.lomustangguesthouse.com
Royal Mustang Lodge,Mustang,Lo Manthang Nepal,29.1805,83.9510,+977-69-442400,4.4,150,USD,Available,https://www.royalmustanglodge.com
Everest Base Camp Lodge,Solukhumbu,Everest Region Nepal,28.0000,86.8500,+977-38-542000,4.5,180,USD,Available,https://www.everestbasecamplodge.com
Sherpa Village Lodge,Solukhumbu,Namche Nepal,27.8055,86.7115,+977-38-542100,4.4,130,USD,Available,https://www.sherpavillagelodge.com
Khumbu Mountain Resort,Solukhumbu,Khumbu Nepal,27.8060,86.7125,+977-38-542200,4.3,120,USD,Available,https://www.khumbumountainresort.com
Lukla Airport Lodge,Solukhumbu,Lukla Nepal,27.6875,86.7285,+977-38-542300,4.1,85,USD,Available,https://www.luklaairportlodge.com
Everest Panorama Inn,Solukhumbu,Tengboche Nepal,27.8365,86.7645,+977-38-542400,4.3,140,USD,Available,https://www.everestpanoramainn.com
Jungle Wildlife Resort,Chitwan,Sauraha Nepal,27.5800,84.4940,+977-56-583000,4.4,100,USD,Available,https://www.junglewildliferesort.com
Chitwan Forest Lodge,Chitwan,Sauraha Nepal,27.5810,84.4950,+977-56-583100,4.2,80,USD,Available,https://www.chitwanforestlodge.com
Elephant Safari Camp,Chitwan,Chitwan National Park Nepal,27.5605,84.3005,+977-56-583200,4.3,130,USD,Available,https://www.elephantsafaricamp.com
Tharu Village Resort,Chitwan,Sauraha Nepal,27.5820,84.4960,+977-56-583300,4.5,110,USD,Available,https://www.tharuvillageresort.com
Chitwan Adventure Lodge,Chitwan,Sauraha Nepal,27.5805,84.4930,+977-56-583400,4.1,70,USD,Available,https://www.chitwanadventurelodge.com
Lumbini Garden Lodge,Lumbini,Lumbini Nepal,27.4700,83.2755,+977-71-583000,4.2,70,USD,Available,https://www.lumbinigardenlodge.com
Buddha Peace Hotel,Lumbini,Lumbini Nepal,27.4695,83.2765,+977-71-583100,4.3,80,USD,Available,https://www.buddhapeacehotel.com
Lumbini Heritage Inn,Lumbini,Lumbini Nepal,27.4705,83.2745,+977-71-583200,4.4,90,USD,Available,https://www.lumbiniheritageinn.com
Sacred Garden View Resort,Lumbini,Lumbini Nepal,27.4710,83.2750,+977-71-583300,4.2,75,USD,Available,https://www.sacredgardenview.com
Maya Heritage Resort,Lumbini,Lumbini Nepal,27.4702,83.2760,+977-71-583400,4.3,95,USD,Available,https://www.mayaheritageresort.com
Tiger Palace Luxury Resort,Bhairahawa,Rupandehi Nepal,27.5200,83.4500,+977-71-590111,4.6,160,USD,Available,https://www.tigerpalaceresort.com
Siddhartha Cottage,Bhairahawa,Bhairahawa Nepal,27.5055,83.4550,+977-71-521000,4.1,65,USD,Available,https://www.siddharthacottage.com
Bhairahawa Comfort Hotel,Bhairahawa,Rupandehi Nepal,27.5060,83.4540,+977-71-521100,4.2,70,USD,Available,https://www.bhairahawacomfort.com
Dreamland Resort,Bhairahawa,Rupandehi Nepal,27.5100,83.4600,+977-71-590222,4.2,85,USD,Available,https://www.dreamlandresort.com
Hotel Nansc,Bhairahawa,Bhairahawa Nepal,27.5050,83.4540,+977-71-590400,4.2,80,USD,Available,https://www.nanschotel.com
Dharan Hill Resort,Dharan,Dharan Nepal,26.8105,87.2805,+977-25-521000,4.3,90,USD,Available,https://www.dharanhillresort.com
Eastern Horizon Hotel,Dharan,Dharan Nepal,26.8110,87.2810,+977-25-521100,4.2,75,USD,Available,https://www.easternhorizonhotel.com
Dharan Riverside Resort,Dharan,Dharan Nepal,26.8095,87.2795,+977-25-521200,4.1,65,USD,Available,https://www.dharanriverside.com
Ilam Tea Garden Resort,Ilam,Ilam Nepal,26.9105,87.9305,+977-27-521000,4.5,110,USD,Available,https://www.ilamteagardenresort.com
Kanyam Hill Resort,Ilam,Kanyam Nepal,26.8805,87.9205,+977-27-521100,4.6,130,USD,Available,https://www.kanyamhillresort.com
Ilam Mountain View Hotel,Ilam,Ilam Nepal,26.9110,87.9310,+977-27-521200,4.3,90,USD,Available,https://www.ilammountainview.com
Mai Valley Lodge,Ilam,Mai Valley Nepal,26.9150,87.9350,+977-27-521300,4.4,100,USD,Available,https://www.maivalleylodge.com
Ilam Heritage Resort,Ilam,Ilam Nepal,26.9120,87.9320,+977-27-521400,4.2,85,USD,Available,https://www.ilamheritageresort.com
Kanyam Tea Garden Lodge,Ilam,Kanyam Nepal,26.8800,87.9200,+977-27-521500,4.5,120,USD,Available,https://www.kanyamteagarden.com
Dharan Grand Hotel,Dharan,Dharan Nepal,26.8100,87.2800,+977-25-521500,4.3,85,USD,Available,https://www.dharangrandhotel.com
Eastern Star Resort,Dharan,Dharan Nepal,26.8098,87.2798,+977-25-521600,4.1,70,USD,Available,https://www.easternstarresort.com
Biratnagar City Hotel,Biratnagar,Biratnagar Nepal,26.4525,87.2715,+977-21-521000,4.1,65,USD,Available,https://www.biratnagarcityhotel.com
Hotel Harrison Palace,Biratnagar,Biratnagar Nepal,26.4530,87.2720,+977-21-520700,4.3,90,USD,Available,https://www.harrisonpalace.com
Royal Orchid Biratnagar,Biratnagar,Biratnagar Nepal,26.4520,87.2705,+977-21-521200,4.2,75,USD,Available,https://www.royalorchid.com
Ratna Hotel Biratnagar,Biratnagar,Biratnagar Nepal,26.4522,87.2708,+977-21-520600,4.2,75,USD,Available,https://www.ratnahotel.com
Janakpur Heritage Hotel,Janakpur,Janakpur Nepal,26.7280,85.9255,+977-41-521000,4.3,80,USD,Available,https://www.janakpurheritagehotel.com
Mithila Guest House,Janakpur,Janakpur Nepal,26.7275,85.9245,+977-41-521100,4.1,60,USD,Available,https://www.mithilaguesthouse.com
Sita Palace Resort,Janakpur,Janakpur Nepal,26.7285,85.9260,+977-41-521200,4.2,75,USD,Available,https://www.sitapalaceresort.com
Janaki Inn,Janakpur,Janakpur Nepal,26.7270,85.9235,+977-41-521300,4.0,55,USD,Available,https://www.janakiinn.com
Hotel Rama Palace,Janakpur,Janakpur Nepal,26.7278,85.9250,+977-41-521400,4.2,70,USD,Available,https://www.ramapalacehotel.com
Palpa Hill Resort,Tansen,Palpa Nepal,27.8675,83.5465,+977-75-521000,4.4,100,USD,Available,https://www.palpathillresort.com
Srinagar View Lodge,Tansen,Palpa Nepal,27.8680,83.5470,+977-75-521100,4.5,120,USD,Available,https://www.srinagarview.com
Tansen Heritage Inn,Tansen,Palpa Nepal,27.8670,83.5460,+977-75-521200,4.3,85,USD,Available,https://www.tansenheritageinn.com
Palpa Mountain View,Tansen,Palpa Nepal,27.8685,83.5475,+977-75-521300,4.2,80,USD,Available,https://www.palpamountainview.com
Rani Mahal Resort,Tansen,Palpa Nepal,27.7900,83.4400,+977-75-521400,4.6,130,USD,Available,https://www.ranimahalresort.com
Butwal Comfort Inn,Butwal,Butwal Nepal,27.7000,83.4500,+977-71-541000,4.1,65,USD,Available,https://www.butwalcomfortinn.com
Hotel Butwal Plaza,Butwal,Butwal Nepal,27.7005,83.4485,+977-71-541100,4.2,80,USD,Available,https://www.butwalplaza.com
Dream Palace Hotel,Butwal,Butwal Nepal,27.7008,83.4505,+977-71-541200,4.4,100,USD,Available,https://www.dreampalacehotel.com
Butwal Garden View,Butwal,Butwal Nepal,27.6995,83.4495,+977-71-541300,4.2,75,USD,Available,https://www.butwalgardenview.com
Hotel Avenue Butwal,Butwal,Butwal Nepal,27.7010,83.4510,+977-71-541400,4.1,70,USD,Available,https://www.hotelavenuebutwal.com
Pokhara Valley Resort,Pokhara,Pokhara Nepal,28.2100,83.9570,+977-61-468000,4.3,90,USD,Available,https://www.pokharavalleyresort.com
Fewa Lake View Hotel,Pokhara,Lakeside Pokhara Nepal,28.2110,83.9580,+977-61-468100,4.2,75,USD,Available,https://www.fewalakeview.com
Mountain Glory Resort,Pokhara,Pokhara Nepal,28.2200,83.9500,+977-61-468200,4.5,130,USD,Available,https://www.mountaingloryresort.com
Pokhara Lakeside Inn,Pokhara,Lakeside Pokhara Nepal,28.2105,83.9575,+977-61-468300,4.1,65,USD,Available,https://www.pokharalakesideinn.com
Adventure Lake Resort,Pokhara,Fewa Lake Nepal,28.2120,83.9565,+977-61-468400,4.2,80,USD,Available,https://www.adventurelakeresort.com
Kathmandu Heritage Palace,Kathmandu,Thamel Nepal,27.7150,85.3120,+977-1-4703000,4.3,90,USD,Available,https://www.kathmanduheritagepalace.com
Thamel Central Hotel,Kathmandu,Thamel Nepal,27.7160,85.3130,+977-1-4703100,4.1,65,USD,Available,https://www.thamelcentralhotel.com
Valley Crown Hotel,Kathmandu,Kathmandu Nepal,27.7100,85.3150,+977-1-4703200,4.2,80,USD,Available,https://www.valleycrownhotel.com
Royal Valley Inn,Kathmandu,Kathmandu Nepal,27.7120,85.3180,+977-1-4703300,4.0,60,USD,Available,https://www.royalvalleyinn.com
Himalayan Crown Hotel,Kathmandu,Lazimpat Nepal,27.7190,85.3170,+977-1-4417000,4.4,110,USD,Available,https://www.himalayancrownhotel.com
Nagarkot Sunrise Lodge,Nagarkot,Nagarkot Nepal,27.7170,85.5200,+977-1-6684000,4.3,90,USD,Available,https://www.nagarkotsunriselodge.com
Nagarkot Nature Resort,Nagarkot,Nagarkot Nepal,27.7165,85.5195,+977-1-6684100,4.4,110,USD,Available,https://www.nagarkotnatureresort.com
Dhulikhel Valley Resort,Dhulikhel,Dhulikhel Nepal,27.6230,85.5435,+977-11-491500,4.3,95,USD,Available,https://www.dhulikhelvalleyresort.com
Dhulikhel Nature Lodge,Dhulikhel,Dhulikhel Nepal,27.6240,85.5420,+977-11-491600,4.2,80,USD,Available,https://www.dhulikhelnaturelodge.com
Bandipur Scenic Resort,Bandipur,Bandipur Nepal,27.9375,84.4065,+977-65-562000,4.4,100,USD,Available,https://www.bandipurscenicresort.com
Bandipur Panorama Resort,Bandipur,Bandipur Nepal,27.9380,84.4070,+977-65-562100,4.5,120,USD,Available,https://www.bandipurpanoramaresort.com
Bandipur Eco Cottage,Bandipur,Bandipur Nepal,27.9368,84.4062,+977-65-562200,4.2,75,USD,Available,https://www.bandipurecocottage.com
Old Village Inn,Bandipur,Bandipur Nepal,27.9372,84.4068,+977-65-562300,4.4,95,USD,Available,https://www.oldvillageinn.com
Himalayan Bandipur Lodge,Bandipur,Bandipur Nepal,27.9385,84.4075,+977-65-562400,4.3,100,USD,Available,https://www.himalayanbandipurlodge.com
Manakamana Hills Resort,Gorkha,Manakamana Nepal,27.9475,84.5905,+977-65-542000,4.4,110,USD,Available,https://www.manakamanahills.com
Gorkha Garden Palace,Gorkha,Gorkha Nepal,28.0010,84.6330,+977-64-422000,4.2,85,USD,Available,https://www.gorkhagardenpalace.com
Gorkha Durbar View Hotel,Gorkha,Gorkha Nepal,28.0020,84.6340,+977-64-422100,4.3,90,USD,Available,https://www.gorkhadurbarview.com
Manaslu Eco Retreat,Gorkha,Manaslu Region Nepal,28.6510,84.6510,+977-64-422200,4.5,130,USD,Available,https://www.manasluecoretreat.com
Annapurna Base Camp Lodge,Annapurna,Annapurna Region Nepal,28.5300,84.5600,+977-66-443000,4.5,150,USD,Available,https://www.annapurnabasecamplodge.com
Annapurna Mountain View Lodge,Annapurna,Annapurna Region Nepal,28.5400,84.5500,+977-66-443100,4.4,120,USD,Available,https://www.annapurnamountainview.com
Machhapuchhre View Hotel,Pokhara,Pokhara Nepal,28.2100,83.9580,+977-61-469000,4.3,85,USD,Available,https://www.machhapuchhreview.com
Fishtail Garden Resort,Pokhara,Lakeside Pokhara Nepal,28.2110,83.9570,+977-61-469100,4.4,110,USD,Available,https://www.fishtailgardenresort.com
Lake Breeze Hotel,Pokhara,Lakeside Pokhara Nepal,28.2120,83.9585,+977-61-469200,4.2,75,USD,Available,https://www.lakebreezehotel.com
Pokhara Mountain Retreat,Pokhara,Pokhara Nepal,28.2150,83.9550,+977-61-469300,4.5,125,USD,Available,https://www.pokharamountainretreat.com
Fewa Paradise Resort,Pokhara,Fewa Lake Nepal,28.2105,83.9565,+977-61-469400,4.3,90,USD,Available,https://www.fewaparadiseresort.com
Lakeside Heritage Inn,Pokhara,Lakeside Nepal,28.2115,83.9575,+977-61-469500,4.2,80,USD,Available,https://www.lakesideheritageinn.com
Himalayan Peace Hotel,Pokhara,Pokhara Nepal,28.2130,83.9590,+977-61-469600,4.4,100,USD,Available,https://www.himalayanpeacehotel.com
Summit View Lodge,Pokhara,Pokhara Nepal,28.2200,83.9600,+977-61-469700,4.1,70,USD,Available,https://www.summitviewlodge.com
Kathmandu Heritage Inn,Kathmandu,Thamel Nepal,27.7155,85.3125,+977-1-4704000,4.3,85,USD,Available,https://www.kathmanduheritageinn.com
