Place,Latitude,Longitude,District,accidents,landslide,avalanche,flood,earthquake_damage,Hospital,Police,Fire Station,Emergency_Risk,Natural_Disaster_Risk,Tourism_Risk_Index,Risk_Category
Koto Village,28.7600,84.1500,Manang,4,10,5,2,7,0,1,0,90,80,84.0,HIGH
Pisang Village,28.6700,84.1000,Manang,3,8,4,2,6,1,1,0,85,70,76.0,HIGH
Chame Bazaar,28.5500,84.2500,Manang,2,6,2,3,5,3,3,1,60,55,57.0,MEDIUM
Besisahar Gateway,28.2300,84.3700,Lamjung,1,3,0,5,4,10,8,2,35,35,35.0,MEDIUM
Ghale Gaun,28.2800,84.4000,Lamjung,2,5,1,3,5,5,4,1,55,45,49.0,MEDIUM
Bhujung Village,28.2600,84.4200,Lamjung,3,7,2,3,5,3,3,1,65,60,62.0,MEDIUM
Kapuche Lake,28.3500,84.1500,Kaski,5,10,5,2,7,0,1,0,95,85,89.0,HIGH
Sikles Trek Route,28.3700,84.1300,Kaski,4,9,4,2,6,1,1,0,90,80,84.0,HIGH
Tansen Durbar Square,27.8700,83.5400,Palpa,1,1,0,2,5,20,15,5,15,15,15.0,LOW
Rani Mahal,27.8500,83.5400,Palpa,2,4,0,5,4,5,5,1,50,45,47.0,MEDIUM
Kali Gandaki Riverside,27.9500,83.5500,Palpa,3,3,0,10,3,6,5,1,55,55,55.0,MEDIUM
Bhairabsthan Temple,27.8500,83.5200,Palpa,1,3,0,2,4,8,6,2,35,30,32.0,MEDIUM
Boudikali Temple,27.6000,84.0000,Nawalpur,1,1,0,8,2,12,10,3,30,30,30.0,LOW
Devchuli Hill,27.7000,84.2500,Nawalpur,3,7,0,4,5,4,4,1,65,55,60.0,MEDIUM
Triveni Dham,27.4500,83.9000,Nawalpur,1,0,0,10,2,15,12,3,30,35,32.0,LOW
Gaindakot Area,27.7200,84.4300,Nawalpur,1,0,0,8,2,20,15,5,20,25,22.0,LOW
Sankhu Village Trail,27.7400,85.4500,Kathmandu,1,2,0,3,3,70,60,20,5,15,22.0,LOW
Bagdwar Shivapuri,27.8200,85.3900,Kathmandu,2,4,0,3,4,50,40,10,15,25,30.0,LOW
Tokha Hiking Route,27.8000,85.3600,Kathmandu,1,2,0,3,3,80,70,25,5,15,20.0,LOW
Jamacho Gumba Trail,27.7900,85.2800,Kathmandu,3,5,0,2,4,50,40,10,20,30,35.0,LOW
Nagarjun Forest Area,27.7400,85.2700,Kathmandu,2,4,0,3,4,60,50,15,10,25,30.0,LOW
White Gumba Area,27.7200,85.2700,Kathmandu,1,2,0,3,3,70,60,20,5,15,22.0,LOW
Kakani View Point,27.8200,85.2500,Nuwakot,2,4,0,4,4,50,40,10,15,30,35.0,LOW
Kakani Strawberry Area,27.8200,85.2500,Nuwakot,1,2,0,4,3,60,50,15,10,20,25.0,LOW
Gosaikunda Lake,28.0800,85.4100,Rasuwa,18,20,15,1,10,0,0,0,100,100,98.0,HIGH
Lauribina Pass,28.1000,85.4100,Rasuwa,16,20,18,0,10,0,0,0,100,100,98.0,HIGH
Dhukure Village,28.0500,85.2500,Rasuwa,5,8,3,3,6,15,10,3,60,65,68.0,MEDIUM
Syabrubesi,28.1600,85.3600,Rasuwa,5,8,4,3,7,20,15,5,55,65,70.0,HIGH
Thulo Syabru,28.1300,85.3700,Rasuwa,8,12,5,2,8,5,5,2,70,75,78.0,HIGH
Langtang River Camp,28.2300,85.5200,Rasuwa,12,16,10,2,9,0,0,0,100,90,92.0,HIGH
Kyanjin Ri View,28.2200,85.5700,Rasuwa,15,18,12,0,10,0,0,0,100,100,98.0,HIGH
Chisapani Nagarkot Route,27.8500,85.4500,Nuwakot,4,7,0,3,5,20,15,5,40,50,55.0,MEDIUM
Helambu Village Trail,28.0000,85.6000,Sindhupalchok,8,12,6,2,8,5,5,2,75,80,82.0,HIGH
Melamchi Gaun,28.1500,85.6000,Sindhupalchok,4,7,0,10,6,20,15,5,40,65,65.0,MEDIUM
Panch Pokhari Camp,28.0000,85.6500,Sindhupalchok,15,18,10,2,10,0,0,0,100,95,95.0,HIGH
Bhotang Village,28.1000,85.7000,Sindhupalchok,8,12,5,3,7,5,5,2,70,75,78.0,HIGH
Tatopani Sindhupalchok,27.9500,85.9500,Sindhupalchok,3,6,0,15,6,30,25,10,35,60,60.0,MEDIUM
Barhabise Town,27.7900,85.8800,Sindhupalchok,3,5,0,12,6,40,30,10,30,55,58.0,MEDIUM
Lamosangu Lake,27.7800,85.9000,Sindhupalchok,2,3,0,12,5,40,30,10,25,45,48.0,MEDIUM
Dolakha Bhimeshwar Temple,27.6700,86.0200,Dolakha,1,2,0,3,5,60,50,20,5,20,25.0,LOW
Kalinchowk Snow Trail,27.7200,86.0500,Dolakha,12,16,10,1,9,0,0,0,100,90,92.0,HIGH
Jiri Everest Gateway,27.6300,86.2300,Dolakha,5,8,3,3,6,20,15,5,55,65,68.0,MEDIUM
Khawa Danda,27.6200,86.1500,Dolakha,6,10,4,2,7,10,5,2,65,70,72.0,HIGH
Bigu Monastery,27.8500,86.1800,Dolakha,6,10,4,2,7,5,5,2,65,70,72.0,HIGH
Lamabagar Village,27.9000,86.2000,Dolakha,10,15,8,2,8,0,0,0,100,85,88.0,HIGH
Chhorolpa Glacier Lake,27.9000,86.4700,Dolakha,18,20,15,3,10,0,0,0,100,100,98.0,HIGH
Ramechhap Manthali,27.3500,86.0800,Ramechhap,2,4,0,5,5,50,40,15,15,30,35.0,LOW
Thulo Sailung,27.5500,86.3000,Ramechhap,10,15,6,2,8,0,0,0,100,85,88.0,HIGH
Lamjura Pass,27.6500,86.3500,Ramechhap,15,18,12,1,9,0,0,0,100,95,95.0,HIGH
Okhaldhunga Halesi Route,27.3000,86.5000,Okhaldhunga,5,8,0,5,6,20,20,5,40,55,60.0,MEDIUM
Pikey Peak,27.6500,86.6200,Okhaldhunga,12,16,8,2,9,0,0,0,100,90,92.0,HIGH
Khotang Halesi Trail,27.3800,86.6700,Khotang,2,4,0,5,5,50,40,10,15,30,35.0,LOW
Aiselukharka Village,27.4000,86.7500,Khotang,5,8,0,4,6,20,15,5,40,50,55.0,MEDIUM
Trishuli River Rafting,27.9300,84.9000,Nuwakot,4,2,0,12,3,8,6,2,45,55,50.0,MEDIUM
Nuwakot Durbar Square,27.9100,85.1600,Nuwakot,1,2,0,3,5,10,8,2,30,30,30.0,LOW
Kakani View Tower,27.8200,85.2500,Nuwakot,2,5,0,3,4,6,5,1,50,40,44.0,MEDIUM
Bidur Bazaar,27.9000,85.1500,Nuwakot,1,3,0,5,4,12,10,3,25,35,30.0,LOW
Dupcheshwor Temple,27.9500,85.2500,Nuwakot,2,5,0,3,5,5,5,1,50,45,47.0,MEDIUM
Gosainkunda Helambu Route,28.0500,85.4500,Sindhupalchok,7,15,12,2,9,0,0,0,100,100,100.0,HIGH
Thadepati Pass,28.0200,85.4800,Sindhupalchok,6,14,10,1,8,0,0,0,100,95,98.0,HIGH
Melamchi Trek Route,28.1200,85.5500,Sindhupalchok,4,10,4,5,7,0,1,0,90,80,84.0,HIGH
Panch Pokhari Lake,28.0000,85.6200,Sindhupalchok,7,15,9,2,9,0,0,0,100,98,99.0,HIGH
Bhairav Kunda,27.9800,85.7500,Sindhupalchok,6,13,7,3,8,0,0,0,100,90,96.0,HIGH
Jiri Town,27.6300,86.2300,Dolakha,2,5,0,3,5,8,6,2,40,45,42.0,MEDIUM
Jiri Everest Gateway,27.6300,86.2300,Dolakha,3,7,2,3,6,5,5,1,60,65,63.0,MEDIUM
Chechet Lake,27.8000,86.1500,Dolakha,5,10,5,2,7,0,1,0,95,85,89.0,HIGH
Tsho Rolpa Lake,27.8500,86.4700,Dolakha,8,16,14,2,10,0,0,0,100,100,100.0,HIGH
Pike Peak Trail,27.6000,86.5500,Solukhumbu,6,14,10,2,8,0,0,0,100,95,98.0,HIGH
Junbesi Village,27.5700,86.6000,Solukhumbu,3,8,3,2,6,1,1,0,85,70,76.0,HIGH
Chiwong Monastery,27.6000,86.5800,Solukhumbu,2,5,2,2,5,1,1,0,75,55,63.0,MEDIUM
Mera Peak Base Camp,27.7000,86.9200,Solukhumbu,9,17,15,1,10,0,0,0,100,100,100.0,HIGH
Island Peak Base Camp,27.9200,86.9300,Solukhumbu,9,18,16,1,10,0,0,0,100,100,100.0,HIGH
Amphu Labtsa Pass,27.8500,86.9500,Solukhumbu,10,18,17,1,10,0,0,0,100,100,100.0,HIGH
Makalu Base Camp East,27.7500,87.1000,Sankhuwasabha,9,17,14,2,10,0,0,0,100,100,100.0,HIGH
Num Village Route,27.5500,87.2500,Sankhuwasabha,3,8,3,4,6,1,1,0,85,75,79.0,HIGH
Yuksom Style Trail Area,27.4000,87.9000,Taplejung,6,13,8,2,9,0,0,0,100,95,98.0,HIGH
Pathibhara Cable Route,27.4100,87.7500,Taplejung,4,9,4,2,6,1,1,0,90,75,81.0,HIGH
Ilam Tea Estate,26.9100,87.9300,Ilam,1,2,0,3,3,15,10,3,20,20,20.0,LOW
Mai Valley,26.9200,87.8500,Ilam,2,4,0,6,3,8,6,2,40,40,40.0,MEDIUM
Kanyam Picnic Area,26.9000,87.9200,Ilam,1,1,0,4,2,15,12,3,20,15,18.0,LOW
Antu Sunrise View,26.8800,87.9000,Ilam,2,3,0,3,3,10,8,2,35,30,32.0,MEDIUM
Maipokhari Wetland,26.9700,87.9300,Ilam,1,1,0,5,2,12,10,3,30,25,27.0,LOW
Dharan Jungle Area,26.8100,87.2800,Sunsari,2,1,0,8,2,20,15,5,25,30,27.0,LOW
Koshi Barrage,26.6900,87.0200,Sunsari,3,0,0,18,2,15,12,4,55,60,58.0,MEDIUM
Koshi Tappu Bird Watching,26.6700,87.0000,Sunsari,2,0,0,14,2,10,8,2,45,45,45.0,MEDIUM
Baraha Chhetra River Area,26.8500,87.1500,Sunsari,3,0,0,10,2,12,10,3,40,40,40.0,MEDIUM
Hile Bazaar View,26.9900,87.3300,Dhankuta,1,2,0,3,3,12,10,3,25,20,22.0,LOW
Bhedetar Forest Trail,26.8000,87.2800,Dhankuta,2,5,0,3,4,6,5,1,50,40,44.0,MEDIUM
Namaste Waterfall Area,27.0500,87.3500,Dhankuta,3,6,0,6,4,5,4,1,55,50,52.0,MEDIUM
Tinjure Trail,27.2500,87.4000,Tehrathum,5,12,5,2,7,0,1,0,95,85,89.0,HIGH
Milke Danda Forest,27.2000,87.3000,Tehrathum,4,10,4,2,6,0,1,0,90,80,84.0,HIGH
Aamchok Village Trail,27.2000,87.0500,Bhojpur,5,8,0,4,6,20,15,5,40,50,55.0,MEDIUM
Silichung Base Route,27.1500,87.1000,Bhojpur,14,18,10,1,9,0,0,0,100,95,95.0,HIGH
Dingla Village,27.3000,87.1000,Bhojpur,3,6,0,4,5,25,20,5,35,45,50.0,MEDIUM
Shadananda Area,27.2500,87.1500,Bhojpur,3,5,0,5,5,30,25,10,30,45,50.0,MEDIUM
Mundum Trail,27.2000,87.3000,Khotang,10,15,5,3,8,0,0,0,100,85,88.0,HIGH
Halesi Rural Route,27.3800,86.6700,Khotang,3,5,0,4,5,40,30,10,20,35,40.0,MEDIUM
Aiselukharka Ridge,27.4200,86.7800,Khotang,6,10,3,3,7,10,5,2,65,70,72.0,HIGH
Khotang Diktel View,27.2100,86.7900,Khotang,2,4,0,4,5,40,30,10,20,35,40.0,MEDIUM
Chainpur Forest Trail,27.2800,87.2500,Sankhuwasabha,4,8,0,4,6,20,15,5,45,55,60.0,MEDIUM
Makalu Barun Valley,27.7000,87.1000,Sankhuwasabha,18,20,18,1,10,0,0,0,100,100,98.0,HIGH
Barun Glacier Camp,27.7800,87.0500,Sankhuwasabha,18,20,18,0,10,0,0,0,100,100,99.0,HIGH
Tumlingtar Riverside,27.3000,87.2000,Sankhuwasabha,3,4,0,10,4,30,25,10,30,50,52.0,MEDIUM
Arun River Valley,27.5000,87.0000,Sankhuwasabha,6,8,0,15,5,10,10,3,65,75,75.0,HIGH
Sakhejung Village,27.0000,87.8500,Ilam,2,4,0,4,4,40,30,10,20,30,35.0,LOW
Maipokhari Wetland,26.9500,87.8500,Ilam,2,3,0,8,4,40,30,10,20,35,40.0,MEDIUM
Antu Danda Sunrise,26.8800,88.0000,Ilam,1,2,0,4,3,60,50,20,5,15,22.0,LOW
Sandakpur Ridge,27.0000,87.9000,Ilam,5,8,0,3,5,10,10,3,55,60,65.0,MEDIUM
Kanyam Tea Route,26.8700,87.9200,Ilam,1,1,0,4,3,70,60,20,5,15,22.0,LOW
Phidim View Point,27.1500,87.7500,Panchthar,2,5,0,4,5,30,25,10,30,40,45.0,MEDIUM
Tinjure Forest Trail,27.3000,87.5000,Tehrathum,10,15,8,2,9,0,0,0,100,90,92.0,HIGH
Gupha Pokhari Trail,27.2000,87.5500,Tehrathum,8,12,5,3,7,5,5,2,70,75,78.0,HIGH
Myanglung Village,27.0000,87.5500,Tehrathum,2,5,0,5,5,30,25,10,30,45,50.0,MEDIUM
Madi Valley,26.9500,87.4000,Sankhuwasabha,6,9,0,10,6,15,10,3,60,70,72.0,HIGH
Bhedetar Dhankuta Route,26.8100,87.3000,Dhankuta,2,4,0,6,4,60,50,20,10,25,30.0,LOW
Namaste Jharana,26.7600,87.2500,Dhankuta,3,5,0,8,4,30,25,10,25,40,45.0,MEDIUM
Hile Tea Garden,26.9300,87.3400,Dhankuta,1,2,0,4,3,60,50,20,5,15,22.0,LOW
Raja Rani Lake,26.9500,87.4000,Dhankuta,2,3,0,8,4,30,25,10,20,35,40.0,MEDIUM
Sunsari Koshi Island,26.7000,87.1000,Sunsari,3,1,0,18,3,25,20,5,30,55,58.0,MEDIUM
Koshi Tappu Bird Camp,26.8500,87.1500,Sunsari,2,0,0,15,2,40,30,10,20,45,45.0,MEDIUM
Baraha Area Trail,26.8500,87.2000,Sunsari,1,1,0,12,3,50,40,15,10,35,38.0,MEDIUM
Dharan Forest Route,26.8100,87.2800,Sunsari,3,5,0,6,4,50,40,15,20,35,40.0,MEDIUM
Itahari Wetland,26.6600,87.2800,Sunsari,1,1,0,12,3,70,60,20,5,30,32.0,LOW
Mechi Hill Area,26.5500,88.1000,Jhapa,3,1,0,20,3,30,25,10,25,55,55.0,MEDIUM
Damak Forest Trail,26.6700,87.7000,Jhapa,2,1,0,12,3,60,50,20,10,35,38.0,MEDIUM
Kakarbhitta River Side,26.6500,88.1500,Jhapa,2,0,0,15,2,50,40,15,10,40,42.0,MEDIUM
Birat Chowk Area,26.6500,87.2800,Morang,1,0,0,10,2,80,70,25,5,25,28.0,LOW
Betana Wetland,26.5500,87.5000,Morang,2,0,0,15,2,40,30,10,20,45,45.0,MEDIUM
Rangeli Rural Area,26.4500,87.6300,Morang,2,0,0,12,2,50,40,15,10,35,38.0,MEDIUM
Sundar Haraicha Forest,26.7000,87.1800,Morang,2,1,0,12,3,60,50,20,10,35,38.0,MEDIUM
Pathibhara Lower Trail,27.3000,87.6500,Taplejung,8,12,6,2,8,5,5,2,70,80,82.0,HIGH
Khebang Village,27.2500,87.7000,Taplejung,5,8,3,3,7,10,5,2,65,70,72.0,HIGH
Sinwa Village,27.4000,87.7000,Taplejung,7,12,5,2,8,5,5,2,75,80,82.0,HIGH
Lelep Village,27.7000,87.7500,Taplejung,12,16,10,1,9,0,0,0,100,90,92.0,HIGH
Ghunsa Village,27.7300,87.9500,Taplejung,15,18,14,1,10,0,0,0,100,95,95.0,HIGH
Sele La Pass,27.7500,87.9500,Taplejung,18,20,18,0,10,0,0,0,100,100,98.0,HIGH
Lhonak Camp,27.9000,88.0000,Taplejung,20,20,20,0,10,0,0,0,100,100,99.0,HIGH
Olangchung Gola Route,27.8700,87.8000,Taplejung,18,20,15,1,10,0,0,0,100,100,98.0,HIGH
Yamphudin Village,27.5500,87.8000,Taplejung,8,12,5,3,7,5,5,2,70,75,78.0,HIGH
Khebang Ridge,27.3500,87.7000,Taplejung,6,10,4,2,7,5,5,2,65,70,72.0,HIGH
Ilam Chhintapu Trail,27.0000,87.8500,Ilam,4,8,0,3,5,15,10,3,50,55,60.0,MEDIUM
Siddhithumka Hill,26.9000,87.9000,Ilam,3,5,0,4,4,30,25,10,25,40,45.0,MEDIUM
Mai Valley Resort Area,26.9200,87.9300,Ilam,1,2,0,4,3,60,50,20,5,15,22.0,LOW
Fikkal Tea Village,26.8900,87.9400,Ilam,1,2,0,4,3,60,50,20,5,15,22.0,LOW
Kanyam Sunrise Point,26.8700,87.9200,Ilam,1,1,0,4,3,70,60,20,5,15,22.0,LOW
Panchthar Silauti Pokhari,27.1500,87.6500,Panchthar,5,8,0,3,6,15,10,3,55,60,65.0,MEDIUM
Limbu Cultural Trail,27.1000,87.7000,Panchthar,4,7,0,4,5,20,15,5,45,55,60.0,MEDIUM
Aathrai Village,27.1000,87.5500,Tehrathum,5,9,0,4,6,10,10,3,60,65,70.0,HIGH
Menchhayayem Hill,27.2000,87.5000,Tehrathum,10,15,6,2,8,0,0,0,100,85,88.0,HIGH
Chhathar Lake,27.0500,87.4500,Tehrathum,4,7,0,6,5,20,15,5,40,55,60.0,MEDIUM
Dhankuta Hile Route,26.9300,87.3400,Dhankuta,2,5,0,4,5,30,25,10,30,40,45.0,MEDIUM
Namaste Waterfall,26.7600,87.2500,Dhankuta,3,5,0,8,4,30,25,10,25,40,45.0,MEDIUM
Rajarani Lake,26.9500,87.4000,Dhankuta,2,3,0,8,4,30,25,10,20,35,40.0,MEDIUM
Bhojpur Taksar Village,27.1500,87.0500,Bhojpur,3,6,0,4,6,25,20,5,35,45,50.0,MEDIUM
Mundum Heritage Trail,27.2000,87.3000,Bhojpur,10,15,5,3,8,0,0,0,100,85,88.0,HIGH
Temke Danda,27.2500,87.2500,Bhojpur,12,16,8,2,9,0,0,0,100,90,92.0,HIGH
Khotang Halesi Area,27.3800,86.6700,Khotang,2,4,0,5,5,50,40,10,15,30,35.0,LOW
Diktel Rupakot,27.2100,86.7900,Khotang,3,5,0,5,5,35,30,10,25,40,45.0,MEDIUM
Okhaldhunga Pikey Route,27.6500,86.6200,Okhaldhunga,12,16,8,2,9,0,0,0,100,90,92.0,HIGH
Khiji Demba,27.4000,86.5000,Okhaldhunga,7,12,5,3,7,5,5,2,70,75,78.0,HIGH
Likhu Valley,27.3000,86.4000,Okhaldhunga,6,10,2,4,7,5,5,2,65,70,72.0,HIGH
Ramechhap Sailung Trail,27.5500,86.2500,Ramechhap,10,15,6,2,8,0,0,0,100,85,88.0,HIGH
Manthali River Area,27.3500,86.0800,Ramechhap,2,4,0,10,5,50,40,15,15,40,42.0,MEDIUM
Doramba Village,27.3500,86.2500,Ramechhap,5,8,0,4,6,20,15,5,40,50,55.0,MEDIUM
Sunapati Rural Trail,27.4500,86.3000,Ramechhap,6,10,3,3,7,10,10,3,60,70,72.0,HIGH
Dolakha Sailung Ridge,27.5500,86.3000,Dolakha,10,15,6,2,8,0,0,0,100,85,88.0,HIGH
Jiri Deurali,27.6300,86.2300,Dolakha,5,8,3,3,6,20,15,5,55,65,68.0,MEDIUM
Bigu Lake Area,27.8500,86.1800,Dolakha,8,12,5,3,7,5,5,2,70,75,78.0,HIGH
Rolwaling Glacier Trail,27.9000,86.3500,Dolakha,18,20,15,0,10,0,0,0,100,100,98.0,HIGH
Helambu Yangri Trail,28.0000,85.6000,Sindhupalchok,7,10,5,2,8,5,5,2,70,75,78.0,HIGH
Tarkeghyang Monastery,28.0500,85.5800,Sindhupalchok,6,10,5,2,7,5,5,2,65,70,72.0,HIGH
Sermathang Village,28.0600,85.6000,Sindhupalchok,5,8,3,3,7,10,5,2,60,70,72.0,HIGH
Jaljale Himal Trail,27.2200,87.3500,Tehrathum,6,13,7,2,8,0,0,0,100,90,96.0,HIGH
Basantapur Hill Station,27.1700,87.4000,Tehrathum,2,4,0,3,4,8,6,2,40,35,37.0,MEDIUM
Dhankuta Hile Road View,27.0000,87.3300,Dhankuta,1,3,0,4,3,10,8,2,30,30,30.0,LOW
Sankhuwasabha Arun Valley,27.5500,87.2500,Sankhuwasabha,5,12,5,8,7,0,1,0,95,90,93.0,HIGH
Barun National Park Area,27.7500,87.1000,Sankhuwasabha,9,18,14,2,10,0,0,0,100,100,100.0,HIGH
Makalu Base Camp West,27.7200,87.0500,Sankhuwasabha,8,17,13,2,10,0,0,0,100,100,100.0,HIGH
Kanchenjunga Circuit Trail,27.7000,87.9000,Taplejung,9,18,15,2,10,0,0,0,100,100,100.0,HIGH
Yamphudin Village,27.5000,87.8000,Taplejung,5,12,6,3,7,0,1,0,95,85,89.0,HIGH
Khebang Village,27.4500,87.6500,Taplejung,3,8,3,4,6,1,1,0,85,70,76.0,HIGH
Pathibhara Forest Route,27.4200,87.7600,Taplejung,4,10,5,2,7,1,1,0,90,80,84.0,HIGH
Mai Pokhari Trail,26.9700,87.9500,Ilam,2,3,0,5,3,10,8,2,35,35,35.0,MEDIUM
Sandakpur Border View,26.9500,87.9200,Ilam,4,9,2,3,5,3,3,1,70,65,68.0,HIGH
Kanyam Tea Route,26.9000,87.9300,Ilam,1,2,0,3,3,15,10,3,20,20,20.0,LOW
Panchthar Highlands,27.1500,87.8500,Panchthar,3,7,1,3,5,3,3,1,65,60,62.0,MEDIUM
Phidim Bazaar,27.1500,87.8100,Panchthar,1,3,0,3,3,10,8,2,30,30,30.0,LOW
Tinjure View Point,27.2300,87.3900,Tehrathum,3,8,3,2,5,2,2,0,80,70,75.0,HIGH
Hatuwa Gadhi Trail,27.0000,87.1500,Bhojpur,3,6,0,3,5,3,3,1,65,55,59.0,MEDIUM
Temke Danda Route,27.3000,86.9500,Bhojpur,4,10,4,2,6,1,1,0,90,80,84.0,HIGH
Salpa Lake Trail,27.4000,86.9000,Bhojpur,6,13,7,2,8,0,0,0,100,90,96.0,HIGH
Halesi Cave Area,27.3200,86.7200,Khotang,1,2,0,2,5,15,10,3,25,20,22.0,LOW
Mundum Adventure Trail,27.4000,86.9000,Khotang,5,12,6,2,8,0,1,0,95,85,89.0,HIGH
Diktel Rupakot View,27.2100,86.7900,Khotang,2,5,0,3,4,6,5,1,50,40,44.0,MEDIUM
Okhaldhunga Siddhicharan Park,27.3200,86.5000,Okhaldhunga,1,3,0,3,4,8,6,2,35,30,32.0,MEDIUM
Pikey Peak,27.6500,86.5800,Solukhumbu,7,15,10,2,9,0,0,0,100,95,98.0,HIGH
Dudhkunda Lake,27.5500,86.5000,Solukhumbu,8,16,12,1,10,0,0,0,100,100,100.0,HIGH
Mahalangur Himal Route,27.9500,86.9000,Solukhumbu,10,18,16,1,10,0,0,0,100,100,100.0,HIGH
Thukla Pass,27.8900,86.8200,Solukhumbu,8,16,13,1,9,0,0,0,100,100,100.0,HIGH
Dingboche Village,27.8900,86.8200,Solukhumbu,6,13,9,1,8,0,0,0,100,95,98.0,HIGH
Lobuche Village,27.9500,86.8100,Solukhumbu,8,16,13,1,9,0,0,0,100,100,100.0,HIGH
Everest Three Pass Route,27.9500,86.7000,Solukhumbu,10,18,17,1,10,0,0,0,100,100,100.0,HIGH
Chhukung Valley,27.9000,86.9300,Solukhumbu,7,15,12,1,9,0,0,0,100,100,100.0,HIGH
Amadablam Base Area,27.8600,86.8500,Solukhumbu,8,16,14,1,10,0,0,0,100,100,100.0,HIGH
Thame Monastery,27.9500,86.7200,Solukhumbu,3,8,3,2,6,0,1,0,85,70,76.0,HIGH
Salleri Bazaar,27.5000,86.5800,Solukhumbu,2,4,0,4,4,8,6,2,40,35,37.0,MEDIUM
Khumjung Village,27.8300,86.7200,Solukhumbu,4,10,5,1,7,1,1,0,90,85,87.0,HIGH
Phaplu Airport Area,27.5200,86.5800,Solukhumbu,2,3,0,3,4,10,8,2,35,30,32.0,MEDIUM
Dudh Kunda Trail,27.5500,86.5000,Solukhumbu,8,16,12,1,9,0,0,0,100,100,100.0,HIGH
Melamchi Source Trail,28.1500,85.6000,Sindhupalchok,6,10,3,8,7,10,10,3,65,75,78.0,HIGH
Panch Pokhari Upper Trail,28.0000,85.6500,Sindhupalchok,15,18,10,2,10,0,0,0,100,95,95.0,HIGH
Jugal Base Camp,28.0500,85.8500,Sindhupalchok,18,20,15,1,10,0,0,0,100,100,98.0,HIGH
Balephi Riverside,27.9500,85.8000,Sindhupalchok,3,5,0,15,5,30,25,10,30,55,58.0,MEDIUM
Tatopani Border Trail,27.9500,85.9500,Sindhupalchok,4,7,0,15,6,30,25,10,35,60,62.0,MEDIUM
Bhairab Kunda Camp,27.9500,86.1000,Sindhupalchok,12,15,8,2,9,0,0,0,100,85,90.0,HIGH
Langtang Kyanjin Village,28.2200,85.5700,Rasuwa,15,18,12,0,10,0,0,0,100,100,98.0,HIGH
Lama Hotel Trail,28.2000,85.4500,Rasuwa,10,15,8,2,8,0,0,0,100,85,88.0,HIGH
Gatlang Village,28.1500,85.2500,Rasuwa,7,12,5,2,7,5,5,2,70,75,78.0,HIGH
Tamangs Heritage Trail,28.1000,85.3000,Rasuwa,6,10,3,3,7,5,5,2,65,70,72.0,HIGH
Dhunche View Point,28.1100,85.3000,Rasuwa,3,6,0,3,6,25,20,5,35,50,55.0,MEDIUM
Yarsa Village,28.2000,85.3500,Rasuwa,8,12,5,3,8,5,5,2,70,75,78.0,HIGH
Nuwakot Kakani Trail,27.8200,85.2500,Nuwakot,2,4,0,4,4,50,40,10,15,30,35.0,LOW
Trishuli River Camp,27.9000,85.1700,Nuwakot,5,2,0,15,5,30,25,10,35,55,60.0,MEDIUM
Bidur Heritage Area,27.9200,85.1600,Nuwakot,1,3,0,8,5,50,40,15,15,35,38.0,MEDIUM
Devighat Area,27.8700,85.1500,Nuwakot,2,2,0,12,4,50,40,15,15,40,42.0,MEDIUM
Rasuwa Gosaikunda Route,28.0800,85.4100,Rasuwa,18,20,15,1,10,0,0,0,100,100,98.0,HIGH
Dhading Ruby Valley,28.3000,85.1500,Dhading,15,18,12,2,9,0,0,0,100,95,95.0,HIGH
Ganesh Himal Trail,28.4000,85.1000,Dhading,18,20,15,1,10,0,0,0,100,100,98.0,HIGH
Sertung Village,28.3000,85.1800,Dhading,8,12,5,3,7,5,5,2,70,75,78.0,HIGH
Tipling Village,28.2500,85.1200,Dhading,7,10,4,3,7,5,5,2,65,70,72.0,HIGH
Kuri Village Dhading,28.2000,85.0000,Dhading,5,8,0,5,6,15,10,3,55,60,65.0,MEDIUM
Salyantar View,28.1000,84.9500,Dhading,3,6,0,8,5,25,20,5,40,55,60.0,MEDIUM
Trishuli Dhading Camp,27.9500,85.0000,Dhading,5,4,0,15,5,30,25,10,35,55,60.0,MEDIUM
Manaslu Base Camp,28.6500,84.5600,Gorkha,20,20,18,1,10,0,0,0,100,100,99.0,HIGH
Samagaun Village,28.6500,84.5700,Gorkha,15,18,12,1,10,0,0,0,100,95,95.0,HIGH
Lho Village,28.6500,84.6000,Gorkha,12,16,10,2,9,0,0,0,100,90,92.0,HIGH
Soti Khola Trail,28.5500,84.7500,Gorkha,8,12,5,5,7,5,5,2,70,75,78.0,HIGH
Barpak Village,28.2000,84.7500,Gorkha,6,10,3,4,7,10,10,3,60,70,72.0,HIGH
Laprak Village,28.2500,84.8000,Gorkha,7,12,5,3,8,5,5,2,70,75,78.0,HIGH
Gorkha Palace,28.0000,84.6300,Gorkha,1,2,0,3,5,70,60,20,5,20,25.0,LOW
Ligligkot Hill,28.0500,84.5500,Gorkha,4,6,0,4,5,30,25,10,30,45,50.0,MEDIUM
Chum Valley,28.7000,84.8000,Gorkha,18,20,15,0,10,0,0,0,100,100,98.0,HIGH
Tsum Valley Trail,28.6000,84.9000,Gorkha,15,18,12,1,10,0,0,0,100,95,95.0,HIGH
Boudha Himal Route,28.5000,84.7000,Gorkha,12,16,8,2,9,0,0,0,100,90,92.0,HIGH
Annapurna Sanctuary Route,28.5300,84.5600,Kaski,15,18,10,2,9,0,0,0,100,95,95.0,HIGH
